company_id,company_name,headquarters_country,headquarters_city,founded_year,employee_count,annual_revenue_usd,rpa_platform,cloud_support,ai_integration,process_mining_support,low_code_support,market_share_percent,customer_count,industry_focus,website,global_region
CMP00018,NexusProcess,Japan,Yokohama,2018,47,1662942,SAP iRPA,Partial,No,Yes,Yes,0.005,28,Retail & E-Commerce,https://www.nexusprocess.com,Asia-Pacific
CMP00019,Core CogniBot,United States,Dallas,2007,43,10009437,Softomotive,Partial,No,No,Yes,0.003,111,Construction & Engineering,https://www.corecognibot.com,North America
CMP00020,QuantumVertex,Japan,Kobe,2004,109,19570979,Cognizant RPA,Yes,Partial,Yes,Yes,0.03,32,Technology & IT Services,https://www.quantumvertex.com,Asia-Pacific
CMP00021,Digital AutoBrain,India,Kolkata,2010,78,20153366,VisualCron,Partial,Yes,No,Yes,0.056,75,Legal Services,https://www.digitalautobrain.com,Asia-Pacific
CMP00022,CyberLink,China,Chengdu,2016,43,6052533,Jidoka RPA,Yes,Yes,Yes,No,0.024,28,Insurance,https://www.cyberlink.com,Asia-Pacific
CMP00023,DockLogic,Mexico,Monterrey,2018,32,3285321,Contextor,Yes,Yes,Yes,Yes,0.003,12,Legal Services,https://www.docklogic.com,North America
CMP00024,Advanced Automate,Spain,Valencia,2010,51,9535309,AntWorks,Yes,No,Yes,No,0.02,43,Professional Services & Consulting,https://www.advancedautomate.com,Europe
CMP00025,Mega LogicBot,Brazil,Brasilia,2011,49,2563700,Cognizant RPA,Yes,No,Yes,No,0.022,25,Automotive,https://www.megalogicbot.com,South America
CMP00026,Advanced IntelliProcess,Canada,Ottawa,2020,5,1000000,AntWorks,Yes,Yes,No,Yes,0.115,36,Legal Services,https://www.advancedintelliprocess.com,North America
CMP00027,NetLink,Japan,Sapporo,2020,97,14302277,Cognizant RPA,Yes,No,No,Yes,0.044,142,Life Sciences,https://www.netlink.com,Asia-Pacific
CMP00028,QuantumVertex43,China,Shanghai,2011,51,4673796,NICE Robotic Automation,Yes,Yes,Yes,Yes,0.008,27,Hospitality & Travel,https://www.quantumvertex43.com,Asia-Pacific
CMP00029,NREBot,Norway,Oslo,2018,30,3777294,Datamatics Truzo,Yes,Yes,Yes,Yes,0.096,47,Telecommunications,https://www.nrebot.com,Europe
CMP00030,ACTech,Philippines,Quezon City,1999,21,2304688,Jidoka RPA,Yes,Yes,Yes,No,0.003,27,Life Sciences,https://www.actech.com,Asia-Pacific
CMP00031,Crest CogniBot,Malaysia,Kuala Lumpur,2008,5,1000000,Hansight RPA,Yes,No,Yes,Yes,0.1,11,Legal Services,https://www.crestcognibot.com,Asia-Pacific
CMP00032,ProcessOmega,South Korea,Seoul,2001,14,3377787,AutoHotkey Enterprise,Yes,No,Yes,Yes,0.016,50,Transportation & Logistics,https://www.processomega.com,Asia-Pacific
CMP00033,LogicSpark,Vietnam,Da Nang,2019,22,2039790,Wipro HOLMES,Yes,Yes,Yes,Yes,0.008,30,FMCG & Consumer Goods,https://www.logicspark.com,Asia-Pacific
CMP00034,Vortex AutoSys,India,Kolkata,2010,190,77185449,OpenBots,No,Yes,Yes,Yes,0.052,250,Government & Public Sector,https://www.vortexautosys.com,Asia-Pacific
CMP00035,DockBright,Taiwan,Hsinchu,2011,46,6720800,Winautomation,No,Yes,No,No,0.034,49,Government & Public Sector,https://www.dockbright.com,Asia-Pacific
CMP00036,CloudBridge,United Arab Emirates,Abu Dhabi,2019,6,1000000,Botpath,Yes,Yes,Yes,Yes,0.006,20,Life Sciences,https://www.cloudbridge.com,Middle East
CMP00037,CyberLogic,United Kingdom,Manchester,2018,5,1000000,TCS BaNCS RPA,Yes,Partial,No,Yes,0.007,46,Agriculture & Food Processing,https://www.cyberlogic.com,Europe
CMP00038,Crest SmartOps,India,Delhi,2010,86,3993242,Rocketbot,Yes,Yes,Yes,Yes,0.098,5,Hospitality & Travel,https://www.crestsmartops.com,Asia-Pacific
CMP00039,PortCogni,Netherlands,Amsterdam,2003,27,5372842,Softomotive,Yes,No,Yes,Yes,0.009,38,Real Estate,https://www.portcogni.com,Europe
CMP00040,FlowHyper,Japan,Tokyo,2017,23,1770457,SAP iRPA,Yes,Yes,No,Yes,0.002,19,FMCG & Consumer Goods,https://www.flowhyper.com,Asia-Pacific
CMP00041,Matrix Tech,Morocco,Tangier,2019,41,7553066,OpenBots,Yes,Yes,Yes,Yes,0.071,37,Transportation & Logistics,https://www.matrixtech.com,Africa
CMP00042,Prime SmartProcess,China,Shanghai,2013,16,2040828,Blue Prism (SS&C),Partial,No,No,Yes,0.001,37,Mining & Metals,https://www.primesmartprocess.com,Asia-Pacific
CMP00043,BotEdge,United States,Los Angeles,2015,54,12119072,OpenBots,Yes,Yes,Yes,Yes,0.003,459,Telecommunications,https://www.botedge.com,North America
CMP00044,AlphaDock,Japan,Kobe,2023,146,35784638,MuleSoft RPA,Yes,Yes,No,No,0.065,47,Energy & Utilities,https://www.alphadock.com,Asia-Pacific
CMP00045,CloudHub,Singapore,Singapore,2014,12,1000000,Rocketbot,Yes,No,Yes,No,0.016,11,Transportation & Logistics,https://www.cloudhub.com,Asia-Pacific
CMP00046,DataMeta,Ireland,Dublin,2024,246,29233489,NICE Robotic Automation,Yes,No,Yes,Yes,0.003,216,Energy & Utilities,https://www.datameta.com,Europe
CMP00047,TechNeuro,South Korea,Daejeon,2010,133,88126301,Wipro HOLMES,Yes,Yes,No,No,0.02,463,Retail & E-Commerce,https://www.techneuro.com,Asia-Pacific
CMP00048,Radiant SmartOps,China,Suzhou,2019,5,1000000,Hansight RPA,Yes,Yes,No,Yes,0.094,25,Hospitality & Travel,https://www.radiantsmartops.com,Asia-Pacific
CMP00049,RAALabs,Mexico,Tijuana,2021,217,64041240,AntWorks,Yes,Yes,No,No,0.002,223,Professional Services & Consulting,https://www.raalabs.com,North America
CMP00050,ESAGroup,United States,Houston,2021,1669,799444507,WorkFusion,Yes,Yes,No,No,0.007,318,Healthcare & Pharmaceuticals,https://www.esagroup.com,North America
CMP00051,Smart Cyber,Japan,Tokyo,2003,66,17195399,Jacada,Yes,Yes,Yes,Yes,0.011,138,Aerospace & Defense,https://www.smartcyber.com,Asia-Pacific
CMP00052,Apex RoboMind,Brazil,Brasilia,2014,8,1000000,Winautomation,Partial,Yes,No,Yes,0.009,25,Automotive,https://www.apexrobomind.com,South America
CMP00053,Sentient IntelliFlow,United States,Denver,2010,222,30159969,Power Automate,Partial,No,No,No,0.028,430,Education,https://www.sentientintelliflow.com,North America
CMP00054,PortDock,United Kingdom,Edinburgh,2017,79,13667539,Blue Prism (SS&C),Yes,No,Yes,Yes,0.024,87,Oil & Gas,https://www.portdock.com,Europe
CMP00055,Omnis AutoDynamics,Sweden,Malmo,2004,328,240637847,Pega Platform,Yes,Yes,No,Yes,0.045,1827,Oil & Gas,https://www.omnisautodynamics.com,Europe
CMP00056,Stellar Automation,Ireland,Galway,2010,21,4359522,Jidoka RPA,Yes,Partial,No,Yes,0.106,40,Government & Public Sector,https://www.stellarautomation.com,Europe
CMP00057,CoreGate,Israel,Tel Aviv,2010,19,4764149,Botpath,Partial,Yes,Yes,Yes,0.007,48,FMCG & Consumer Goods,https://www.coregate.com,Middle East
CMP00058,DigitalSync,Sweden,Uppsala,2017,362,192681430,HelpSystems Automate,Yes,Yes,Yes,No,0.032,2841,Education,https://www.digitalsync.com,Europe
CMP00059,Frontier BrainStorm AI,United States,Washington,2019,19,2591934,Automation Anywhere,Yes,Yes,No,No,0.016,15,Media & Entertainment,https://www.frontierbrainstormai.com,North America
CMP00060,CraftAuto,Denmark,Aarhus,2010,109,21120996,Automation Anywhere,Yes,Yes,No,Yes,0.002,78,Construction & Engineering,https://www.craftauto.com,Europe
CMP00061,Signal BotForge,United States,San Jose,2016,54,7977858,TCS BaNCS RPA,Yes,Yes,Yes,No,0.053,7,Automotive,https://www.signalbotforge.com,North America
CMP00062,Eclipse Process,Poland,Gdansk,2016,18,2717912,MuleSoft RPA,Yes,Yes,Yes,Yes,0.005,8,Professional Services & Consulting,https://www.eclipseprocess.com,Europe
CMP00063,Matrix Neural,Israel,Jerusalem,2011,19,1191409,OpenBots,Yes,Yes,No,Yes,0.01,6,Insurance,https://www.matrixneural.com,Middle East
CMP00064,RapidTech,China,Shanghai,2016,62,5951896,Pega Platform,Yes,Partial,No,Yes,0.005,7,Mining & Metals,https://www.rapidtech.com,Asia-Pacific
CMP00065,Vector Solutions,Switzerland,Geneva,2020,28,1377623,HelpSystems Automate,Yes,Partial,No,No,0.093,42,Agriculture & Food Processing,https://www.vectorsolutions.com,Europe
CMP00066,RADBot,United States,Charlotte,2022,36,1776326,Contextor,Yes,No,No,Yes,0.013,30,Media & Entertainment,https://www.radbot.com,North America
CMP00067,Quantum AutoBrain,India,Pune,2023,190,26242764,Power Automate,Yes,Yes,No,Yes,0.009,406,Chemical & Materials,https://www.quantumautobrain.com,Asia-Pacific
CMP00068,Orion LogicBot,United States,Miami,2017,55,2362142,Contextor,Partial,Yes,Yes,No,0.205,19,Media & Entertainment,https://www.orionlogicbot.com,North America
CMP00069,Titan Nexus,India,Bangalore,2002,64,13050045,Winautomation,Yes,Partial,Yes,Yes,0.018,383,Professional Services & Consulting,https://www.titannexus.com,Asia-Pacific
CMP00070,Atlas Process,Australia,Brisbane,2005,300,179473958,RoboTask,Yes,Partial,Yes,Yes,0.012,1470,Construction & Engineering,https://www.atlasprocess.com,Asia-Pacific
CMP00071,Infinity Cognitive,Japan,Nagoya,2015,8,1658884,Winautomation,Yes,Partial,No,Yes,0.003,12,Legal Services,https://www.infinitycognitive.com,Asia-Pacific
CMP00072,Vertex LogicWorks,India,Mumbai,2018,104,52699158,MuleSoft RPA,Partial,Yes,Yes,Yes,0.009,160,Mining & Metals,https://www.vertexlogicworks.com,Asia-Pacific
CMP00073,Prism LogicWorks,United States,Miami,2014,437,162426525,AntWorks,Yes,Partial,No,Yes,0.13,971,Media & Entertainment,https://www.prismlogicworks.com,North America
CMP00074,Delta Cybernetic,South Korea,Daegu,2001,210,141904479,Wipro HOLMES,Yes,Yes,No,No,0.013,1690,Education,https://www.deltacybernetic.com,Asia-Pacific
CMP00075,Resolute LogicBot,Germany,Dusseldorf,2016,336,46976483,Appian,Yes,Yes,Yes,No,0.003,359,Hospitality & Travel,https://www.resolutelogicbot.com,Europe
CMP00076,DataOmega,India,Jaipur,2016,64,3802407,TCS BaNCS RPA,Yes,No,Yes,Yes,0.002,13,Government & Public Sector,https://www.dataomega.com,Asia-Pacific
CMP00077,Emergent BotForge,India,Hyderabad,2019,9,1413224,Kofax RPA,Yes,Yes,Yes,Yes,0.3,47,Aerospace & Defense,https://www.emergentbotforge.com,Asia-Pacific
CMP00078,Mega Cybernetic,United States,Philadelphia,2016,687,150469410,Hansight RPA,Yes,Partial,Yes,No,0.113,1354,Nonprofit & NGO,https://www.megacybernetic.com,North America
CMP00079,MGSolutions,Canada,Waterloo,2021,9,1000000,Appian,Yes,Yes,Yes,Yes,0.002,33,Retail & E-Commerce,https://www.mgsolutions.com,North America
CMP00080,Macro SmartWorks,Indonesia,Medan,2014,31,1521124,Wipro HOLMES,Yes,Yes,Yes,Yes,0.007,46,Professional Services & Consulting,https://www.macrosmartworks.com,Asia-Pacific
CMP00081,Orion AutoDynamics,Japan,Yokohama,2014,736,259487270,UiPath,Partial,Yes,Yes,Yes,0.201,1933,Manufacturing,https://www.orionautodynamics.com,Asia-Pacific
CMP00082,Frontier Bots,Denmark,Odense,2008,162,28595073,Infosys Nia,Yes,Yes,Yes,Yes,0.002,334,Education,https://www.frontierbots.com,Europe
CMP00083,Eclipse RoboFlow,United Kingdom,Cambridge,2024,7,1000000,Wipro HOLMES,Yes,Yes,Yes,Yes,0.002,41,Manufacturing,https://www.eclipseroboflow.com,Europe
CMP00084,Sentient DataBot,Norway,Stavanger,2011,398,201303272,Cognizant RPA,Yes,Partial,Yes,No,0.01,379,Oil & Gas,https://www.sentientdatabot.com,Europe
CMP00085,Prism BotForge,United Kingdom,London,2013,230,31979844,AutomationEdge,Yes,Partial,Yes,Yes,0.001,243,Hospitality & Travel,https://www.prismbotforge.com,Europe
CMP00086,EANGroup,Chile,Valparaiso,2012,52,3031008,OpenBots,Yes,Yes,No,Yes,0.007,43,Transportation & Logistics,https://www.eangroup.com,South America
CMP00087,LinkProcess,Japan,Sapporo,2017,29,5430438,Winautomation,Yes,Yes,No,No,0.007,48,Technology & IT Services,https://www.linkprocess.com,Asia-Pacific
CMP00088,Trident Bot,India,Bangalore,2002,12,1812935,Blue Prism (SS&C),Yes,No,No,Yes,0.054,34,Education,https://www.tridentbot.com,Asia-Pacific
CMP00089,QuantumLogic,Canada,Edmonton,1989,31,12081936,Pega Platform,Yes,Yes,Yes,No,0.011,456,Insurance,https://www.quantumlogic.com,North America
CMP00090,PMSLabs,China,Shenzhen,2017,105,24897058,Botpath,Partial,No,No,Yes,0.052,82,Energy & Utilities,https://www.pmslabs.com,Asia-Pacific
CMP00091,Vertex Automations,Belgium,Antwerp,2012,90,21959659,Kofax RPA,Yes,Yes,Yes,No,0.036,413,Real Estate,https://www.vertexautomations.com,Europe
CMP00092,Proactive AutoSys,Kuwait,Kuwait City,1997,28,2758010,Laiye,No,Yes,Yes,No,0.065,20,Telecommunications,https://www.proactiveautosys.com,Middle East
CMP00093,EABot,India,Pune,2020,9,1055870,Kofax RPA,Yes,Yes,Yes,Yes,0.02,11,Technology & IT Services,https://www.eabot.com,Asia-Pacific
CMP00094,CGRTech,Brazil,Porto Alegre,1999,17,3773820,Automation Anywhere,Yes,Yes,Yes,No,0.009,44,Hospitality & Travel,https://www.cgrtech.com,South America
CMP00095,Delta Mind,Germany,Dresden,2013,64,10325251,MuleSoft RPA,Partial,Yes,No,Yes,0.004,283,Agriculture & Food Processing,https://www.deltamind.com,Europe
CMP00096,Frontier Technologies,United States,Houston,2014,30,6951572,AntWorks,Yes,Yes,Yes,No,0.017,14,Mining & Metals,https://www.frontiertechnologies.com,North America
CMP00097,Vertex BotLogic,France,Paris,2021,100,11050361,Appian,Yes,Partial,No,No,0.006,311,Agriculture & Food Processing,https://www.vertexbotlogic.com,Europe
CMP00098,NeuroBright,India,Pune,2015,90,20065905,Pega Platform,Yes,Yes,Yes,No,0.014,93,Energy & Utilities,https://www.neurobright.com,Asia-Pacific
CMP00099,Core Bot,South Korea,Daejeon,1991,729,479838336,NICE Robotic Automation,Yes,Yes,Yes,Yes,0.027,1577,Chemical & Materials,https://www.corebot.com,Asia-Pacific
CMP00100,OmegaEdge,Indonesia,Medan,2019,16,3067734,Botpath,No,No,No,Yes,0.002,50,Mining & Metals,https://www.omegaedge.com,Asia-Pacific
CMP00101,ForgeEdge,Spain,Barcelona,2004,168,119981836,NICE Robotic Automation,No,Yes,Yes,No,0.003,1915,Retail & E-Commerce,https://www.forgeedge.com,Europe
CMP00102,Vanguard AutoBrain,Australia,Canberra,2016,28,4706565,Kofax RPA,Yes,Yes,No,Yes,0.009,35,Education,https://www.vanguardautobrain.com,Asia-Pacific
CMP00103,IntelliQuantum,South Africa,Durban,2010,94,14167625,Cognizant RPA,Yes,Partial,No,Yes,0.001,214,Hospitality & Travel,https://www.intelliquantum.com,Africa
CMP00104,DRBot,Bahrain,Riffa,2023,62,3529237,HelpSystems Automate,Partial,No,Yes,Yes,0.015,43,Chemical & Materials,https://www.drbot.com,Middle East
CMP00105,Summit IntelliBot,United Kingdom,Edinburgh,2018,262,134011777,Cognizant RPA,Yes,Yes,No,Yes,0.656,566,Professional Services & Consulting,https://www.summitintellibot.com,Europe
CMP00106,Catalyst Nexus,Spain,Barcelona,2013,138,70308469,Rocketbot,Partial,Yes,Yes,Yes,0.009,455,Chemical & Materials,https://www.catalystnexus.com,Europe
CMP00107,Evolution IntelliBot,China,Hangzhou,2004,49,4849212,VisualCron,No,Yes,No,Yes,0.063,6,Hospitality & Travel,https://www.evolutionintellibot.com,Asia-Pacific
CMP00108,Genesis ProcessPro,Mexico,Mexico City,2011,34,3146641,HelpSystems Automate,Partial,Yes,No,Yes,0.04,4,Technology & IT Services,https://www.genesisprocesspro.com,North America
CMP00109,Stratos LogicBot,India,Noida,2015,27,5650410,Rocketbot,Yes,Yes,No,Yes,0.004,31,Nonprofit & NGO,https://www.stratoslogicbot.com,Asia-Pacific
CMP00110,PortCraft,Sweden,Gothenburg,2021,11,1491214,SAP iRPA,Partial,Yes,No,No,0.002,11,Media & Entertainment,https://www.portcraft.com,Europe
CMP00111,Logic ProcessGenius,Vietnam,Da Nang,2016,7,1279778,AntWorks,Yes,Yes,Yes,Yes,0.021,2,Hospitality & Travel,https://www.logicprocessgenius.com,Asia-Pacific
CMP00112,ForgeNeuro,Germany,Berlin,1992,80,31644277,SAP iRPA,Partial,Yes,Yes,Yes,0.001,393,Professional Services & Consulting,https://www.forgeneuro.com,Europe
CMP00113,NCCCorp,Australia,Brisbane,1999,49,16605279,UiPath,No,Partial,Yes,No,0.008,137,Government & Public Sector,https://www.ncccorp.com,Asia-Pacific
CMP00114,Kinetic AutomateIQ,China,Chengdu,2019,1572,743744588,Hansight RPA,Yes,Yes,Yes,Yes,0.019,381,Hospitality & Travel,https://www.kineticautomateiq.com,Asia-Pacific
CMP00115,Delta Intelligence,China,Guangzhou,2015,5,1000000,MuleSoft RPA,Yes,No,No,Yes,0.012,18,Healthcare & Pharmaceuticals,https://www.deltaintelligence.com,Asia-Pacific
CMP00116,LinkWave,Ireland,Cork,2015,331,88669288,Softomotive,Yes,Yes,Yes,Yes,0.005,459,FMCG & Consumer Goods,https://www.linkwave.com,Europe
CMP00117,CACSolutions,India,Noida,2012,21,1208723,Robocorp,No,Yes,No,Yes,0.002,39,Healthcare & Pharmaceuticals,https://www.cacsolutions.com,Asia-Pacific
CMP00118,Lumina ProcessPro,Ecuador,Quito,2007,86,22651205,EdgeVerve AssistEdge,Partial,Partial,Yes,No,0.01,329,FMCG & Consumer Goods,https://www.luminaprocesspro.com,South America
CMP00119,MDCGroup,United Kingdom,Cambridge,2015,43,5747083,Infosys Nia,Yes,Partial,No,No,0.006,21,Real Estate,https://www.mdcgroup.com,Europe
CMP00120,RDCorp,United States,Nashville,2010,32,5388526,Hansight RPA,Yes,No,No,Yes,0.023,11,Construction & Engineering,https://www.rdcorp.com,North America
CMP00121,Velocity Nexus,Austria,Linz,2022,68,2529105,Blue Prism (SS&C),No,Yes,No,Yes,0.016,10,Banking & Financial Services,https://www.velocitynexus.com,Europe
CMP00122,Vector BrainBot,United Kingdom,Oxford,2015,404,224629864,Appian,Partial,Yes,Yes,Yes,0.004,1825,Insurance,https://www.vectorbrainbot.com,Europe
CMP00123,Meridian SmartProcess,France,Nantes,2008,916,487136678,Blue Prism (SS&C),Yes,Yes,Yes,Yes,0.011,1556,Mining & Metals,https://www.meridiansmartprocess.com,Europe
CMP00124,IAGroup,Egypt,Cairo,2010,8,1501691,Laiye,Partial,Yes,No,Yes,0.106,26,Insurance,https://www.iagroup.com,Africa
CMP00125,SparkBright,Germany,Frankfurt,2017,69,11347422,WorkFusion,Yes,Partial,Yes,Yes,0.042,413,Legal Services,https://www.sparkbright.com,Europe
CMP00126,RSDGroup,Italy,Bologna,2015,41,6616415,WorkFusion,No,Yes,Yes,Yes,0.004,41,Retail & E-Commerce,https://www.rsdgroup.com,Europe
CMP00127,Everest Digital,Colombia,Barranquilla,1985,24,4227897,Kofax RPA,Yes,Yes,Yes,Yes,0.016,21,Hospitality & Travel,https://www.everestdigital.com,South America
CMP00128,Eclipse AutomateIQ,United States,Dallas,2022,63,5259254,Kofax RPA,Yes,Yes,Yes,Yes,0.005,5,Education,https://www.eclipseautomateiq.com,North America
CMP00129,CloudCraft,United Kingdom,Edinburgh,2016,56,2098688,Contextor,Yes,Yes,No,Yes,0.001,42,Legal Services,https://www.cloudcraft.com,Europe
CMP00130,Lighthouse ProcessPro,India,Delhi,2011,11,1615229,Hansight RPA,Yes,Yes,No,Yes,0.045,35,Telecommunications,https://www.lighthouseprocesspro.com,Asia-Pacific
CMP00131,Universal ProcessGenius,South Africa,Sandton,2007,166,37921555,Botpath,Yes,No,No,No,0.01,279,FMCG & Consumer Goods,https://www.universalprocessgenius.com,Africa
CMP00132,Signal SmartProcess,Australia,Adelaide,2021,45,1923628,Hansight RPA,Yes,Yes,No,Yes,0.004,28,Manufacturing,https://www.signalsmartprocess.com,Asia-Pacific
CMP00133,Visionary BotSphere,United States,Austin,2015,94,11381846,Contextor,Yes,No,No,Yes,0.028,195,Aerospace & Defense,https://www.visionarybotsphere.com,North America
CMP00134,Sage ProcessPro,Finland,Espoo,2000,213,46406573,Blue Prism (SS&C),No,Yes,No,Yes,0.019,399,Government & Public Sector,https://www.sageprocesspro.com,Europe
CMP00135,PrimeWave,Singapore,Singapore,2013,30,4978561,Laiye,Yes,Yes,Yes,Yes,0.002,25,Banking & Financial Services,https://www.primewave.com,Asia-Pacific
CMP00136,Digital IntelliFlow,Saudi Arabia,Jeddah,2000,79,11686727,AntWorks,Yes,No,Yes,No,0.005,220,Mining & Metals,https://www.digitalintelliflow.com,Middle East
CMP00137,Unity FlowMind,United States,Miami,2005,491,366847545,WorkFusion,Yes,Yes,Yes,Yes,0.008,1791,Real Estate,https://www.unityflowmind.com,North America
CMP00138,LinkBot,South Korea,Busan,2015,110,62283516,Laiye,Yes,Yes,Yes,Yes,0.01,203,Banking & Financial Services,https://www.linkbot.com,Asia-Pacific
CMP00139,Spark SmartOps,Netherlands,Rotterdam,2015,61,7041273,Robocorp,Yes,Yes,Yes,No,0.005,35,Transportation & Logistics,https://www.sparksmartops.com,Europe
CMP00140,CloudWave,India,Noida,2015,52,7245285,RoboTask,Yes,No,No,Yes,0.003,48,Professional Services & Consulting,https://www.cloudwave.com,Asia-Pacific
CMP00141,Catalyst Cybernetic,Taiwan,Kaohsiung,2010,108,59482877,Winautomation,Partial,Yes,Yes,Yes,0.069,292,Life Sciences,https://www.catalystcybernetic.com,Asia-Pacific
CMP00142,Pinnacle Works,South Korea,Daejeon,2016,282,150291386,Appian,Yes,No,Yes,Yes,0.002,743,Government & Public Sector,https://www.pinnacleworks.com,Asia-Pacific
CMP00143,PortClear,India,Pune,2015,52,5988694,Robocorp,Yes,No,No,Yes,0.091,24,Aerospace & Defense,https://www.portclear.com,Asia-Pacific
CMP00144,DataCore,Netherlands,Utrecht,2017,911,425467478,Contextor,Yes,Yes,Yes,Yes,0.04,2567,Retail & E-Commerce,https://www.datacore.com,Europe
CMP00145,PortCogni6,Spain,Seville,2000,273,70870373,Jacada,Yes,Yes,No,Yes,0.019,352,Transportation & Logistics,https://www.portcogni6.com,Europe
CMP00146,Signal Tech,India,Delhi,1999,166,35061024,Botpath,Yes,No,Yes,Yes,0.003,59,Retail & E-Commerce,https://www.signaltech.com,Asia-Pacific
CMP00147,Trident Automation,Italy,Rome,1986,91,35581043,Kofax RPA,Yes,Yes,Yes,No,0.002,173,Retail & E-Commerce,https://www.tridentautomation.com,Europe
CMP00148,PortDigital,Canada,Montreal,1996,143,44963175,Winautomation,Yes,Yes,Yes,Yes,0.342,64,Manufacturing,https://www.portdigital.com,North America
CMP00149,BrightSwift,India,Mumbai,2023,22,1442827,WorkFusion,Yes,Yes,No,Yes,0.002,13,Construction & Engineering,https://www.brightswift.com,Asia-Pacific
CMP00150,QuantumCloud,Canada,Calgary,2012,15,1000000,UiPath,Partial,Partial,Yes,No,0.015,44,Telecommunications,https://www.quantumcloud.com,North America
CMP00151,RGSystems,New Zealand,Hamilton,1987,397,193543356,Wipro HOLMES,No,Yes,Yes,Yes,0.012,542,Transportation & Logistics,https://www.rgsystems.com,Asia-Pacific
CMP00152,AECorp,United States,Minneapolis,2016,292,120256284,Botpath,Yes,No,No,Yes,0.002,2057,Legal Services,https://www.aecorp.com,North America
CMP00153,Innovate Flow,South Korea,Seoul,1987,84,21839435,Jidoka RPA,Yes,Yes,No,Yes,0.006,384,Mining & Metals,https://www.innovateflow.com,Asia-Pacific
CMP00154,Visionary AI,Brazil,Sao Paulo,1994,87,9908652,Appian,Partial,No,Yes,No,0.001,12,Healthcare & Pharmaceuticals,https://www.visionaryai.com,South America
CMP00155,Meridian Neural,Ireland,Limerick,2022,6,1000000,Pega Platform,Yes,Partial,Yes,No,0.001,19,Nonprofit & NGO,https://www.meridianneural.com,Europe
CMP00156,Unity Automation,Thailand,Chiang Mai,2012,6,1162725,Hansight RPA,Yes,Yes,Yes,No,0.027,1,Real Estate,https://www.unityautomation.com,Asia-Pacific
